HOST:	OA
GUESTS:	G0	G1	G2	G3	G4	G5	G6	G7
RANK	FILE	NAME	CATEGORY	MUE	KENDALL	PEARSON	ANGULAR	INTERCEPT	LIN	OA-G0	OA-G1	OA-G2	OA-G3	OA-G4	OA-G5	OA-G6	OA-G7
25	8pxph-973-OA-submission-27.txt	US/PMF/MT/MD_27		1.91	0.142857142857162	0.807928517737113	0.711273140590805	-3.59833031039527	0.344635725375699	-6.64	-7.24	-10.02	-6.88	-9.00	-7.90	-7.17	-7.21
26	gkdce-973-OA-submission-13.txt	US/PMF/MT/MD_13		2.6125	0.571428571428556	0.927760439507192	1.15571355445118	-1.70196499034673	0.332422869491423	-7.10	-7.07	-11.91	-7.73	-9.81	-7.98	-7.48	-8.60
27	nb8jk-973-OA-submission-5.txt	US/PMF/MT/MD_5		2.41125	0.535714285714311	0.866565311852544	0.991876357803011	-2.4587529977469	0.327372657739842	-8.35	-5.88	-10.40	-7.50	-10.43	-8.06	-7.50	-7.95
28	ibhca-973-OA-bufferModelC-5.txt	SOMD/AM1BCC-GAFF-TIP3P/MBAR/C		3.05375	0.499999999999996	0.848367960581496	1.76289887667623	1.40730118136423	0.311138641065942	-8.80	-8.31	-12.82	-6.38	-13.39	-5.97	-8.08	-7.46
29	emfe8-973-OA-submission-12.txt	US/PMF/MT/MD_12		1.30875	0.571428571428575	0.835504646387291	0.3102924994861	-5.24181460925503	0.298334608938276	-6.78	-6.45	-8.04	-7.18	-7.05	-6.88	-6.68	-7.39
30	7fk2x-973-OA-submission-11.txt	US/PMF/MT/MD_11		1.77	0.571428571428575	0.835141549505565	0.430776733856507	-5.09853304877407	0.262153258979272	-7.23	-6.78	-8.98	-7.79	-7.61	-7.37	-7.09	-8.09
31	rkitq-973-OA-submission-9.txt	US/PMF/MT/MD_9		0.86125	0.357142857142893	0.382799371907949	0.152317787370568	-4.8705717383506	0.261911114961449	-5.20	-5.56	-5.63	-5.79	-6.70	-5.05	-6.09	-6.07
32	s78rs-973-OA-submission-10.txt	US/PMF/MT/MD_10		2.29625	0.571428571428576	0.835998997505258	0.630131437346584	-4.45905642011585	0.253650317473579	-7.58	-6.92	-10.14	-8.39	-8.13	-7.78	-7.38	-8.83
33	xcuey-973-OA-submission-18.txt	US/PMF/MT/MD_18		2.78375	0.57142857142882	0.964088026231427	0.724080321479395	-4.39719032014924	0.220704757868098	-8.79	-7.91	-10.42	-7.90	-9.83	-7.93	-7.75	-8.52
34	widya-973-OA-submission-3.txt	US/PMF/MT/MD_3		3.04625	0.49999999999995	0.762381403518179	0.800117289996491	-4.21506414674552	0.197906203875446	-10.01	-8.76	-10.98	-7.98	-10.45	-7.96	-7.33	-7.68
35	iaz7f-973-OA-submission-17.txt	US/PMF/MT/MD_17		2.0375	0.750000000000156	0.955321317324015	0.373578715291633	-5.70049846233218	0.19507338982266	-7.77	-7.45	-8.68	-7.52	-8.68	-7.53	-7.48	-7.97
