HOST:	CB8
GUESTS:	G0	G1	G10	G2	G3	G4	G5	G6	G7	G8	G9
RANK	FILE	NAME	CATEGORY	MUE	KENDALL	PEARSON	ANGULAR	INTERCEPT	LIN	CB8-G0	CB8-G1	CB8-G10	CB8-G2	CB8-G3	CB8-G4	CB8-G5	CB8-G6	CB8-G7	CB8-G8	CB8-G9
21	juz8u-974-CB8-XiaodongRen-1.txt	DDM/GAFF/AM1-BCC/TIP3P		6.64818181818182	0.327272727272631	0.540441794628644	1.136279816464	-5.28480086364082	0.127753669971973	-17.0	-6.5	-17.9	-17.3	-10.8	-11.7	-17.0	-13.6	-14.9	-21.1	-16.2
22	dv8mj-974-CB8-submission-7.txt	US/PMF/MT/MD_7		4.16818181818182	0.309090909090824	0.621215232658987	0.41342784930957	-9.13644793452976	0.124798982315356	-12.23	-11.91	-12.89	-13.76	-10.90	-11.37	-13.85	-11.70	-11.77	-15.00	-13.64
23	pz24v-974-CB8-submission-9.txt	US/PMF/MT/MD_9		5.16636363636364	0.309090909090824	0.581283305745982	0.623395958303056	-8.35619986953674	0.123296190347724	-14.08	-13.02	-10.96	-14.40	-11.15	-11.71	-14.63	-13.47	-12.66	-17.22	-16.70
24	j8yon-974-CB8-submission-12.txt	US/PMF/MT/MD_12		4.03727272727273	0.272727272727182	0.476664110055787	0.382559199036765	-9.26699631143133	0.117596650599047	-13.29	-11.52	-10.45	-13.84	-10.68	-10.89	-13.09	-12.51	-11.93	-14.71	-14.67
25	46vw8-974-CB8-bufferModelA-4.txt	SOMD/AM1BCC-GAFF-TIP3P/MBAR/A		4.47454545454545	0.0545454545454604	0.357411953538292	0.483425354434908	-8.78447815702724	0.112054047632367	-11.85	-7.64	-13.77	-13.13	-14.50	-13.78	-15.20	-12.16	-9.65	-17.16	-12.83
26	fy660-974-CB8-submission-14.txt	US/PMF/MT/MD_14		6.05	0.309090909090737	0.492938201694882	0.703842106975884	3.54154264608574	0.100856545818936	-3.21	-1.93	-1.94	-2.08	4.14	-0.66	-5.94	-1.71	-3.14	-4.67	-5.48
27	k6f5g-974-CB8-submission-17.txt	US/PMF/MT/MD_17		5.61727272727273	0.490909090909102	0.597925628641196	0.482047749731523	-10.0043282870467	0.0871502655450807	-13.88	-13.09	-13.84	-14.91	-11.33	-11.68	-15.95	-14.32	-14.75	-15.94	-15.27
28	3g2hu-974-CB8-nobufferModelC-2.txt	SOMD/AM1BCC-GAFF-TIP3P-NOBUFFER/MBAR/C		5.98818181818182	0.0909090909090056	0.357859671849051	0.575996051589668	-9.55404071576278	0.0811463223660122	-12.79	-7.51	-14.54	-13.62	-17.84	-16.35	-16.52	-14.41	-13.16	-19.01	-13.01
29	u6tnc-974-CB8-submission-6.txt	US/PMF/MT/MD_6		7.62545454545455	0.309090909090825	0.621176708023298	0.750851511568623	5.51516684844078	0.0758186110358839	-0.11	0.48	-1.29	-2.88	2.31	1.45	-3.05	0.86	0.74	-5.14	-2.66
30	6ux0a-974-CB8-submission-11.txt	US/PMF/MT/MD_11		7.86454545454546	0.272727272727186	0.47648438439506	0.693350074303873	5.26722058389926	0.064295483056038	-2.02	1.18	3.12	-3.03	2.71	2.32	-1.66	-0.60	0.45	-4.60	-4.53
31	xv5oo-974-CB8-nobufferModelA-1.txt	SOMD/AM1BCC-GAFF-TIP3P-NOBUFFER/MBAR/A		7.33090909090909	0.0909090909090253	0.356655605960165	0.573173046675849	-10.9461333855647	0.0584452519402622	-14.25	-8.87	-15.85	-15.04	-19.20	-17.71	-17.83	-15.83	-14.53	-20.39	-14.31
32	ourdock.txt	autodock4_default	Docking	2.10460221692923	-0.236363636363551	0.0975839647701773	0.0577137630785425	-6.42105393338927	0.0556054321523568	-7.96545831035395	-8.09635852214173	-7.04433447734218	-7.44168739668484	-7.72288764727001	-4.59949416742167	-6.5612482162276	-5.89410367357152	-5.98444107047276	-8.26609183938539	-6.43267925243816
33	cbfnz-974-CB8-submission-1.txt	US/PMF/MT/MD_1		6.70363636363636	-0.0909090909091757	0.212370756996479	0.517233617893673	-10.792667620077	0.0508662568912254	-15.74	-12.25	-14.02	-19.72	-11.67	-25.17	-14.27	-10.34	-11.49	-20.37	-11.87
34	vrsfp-974-CB8-submission-18.txt	US/PMF/MT/MD_18		4.43181818181818	0.127272727272562	0.274195826872184	0.135618132315139	-11.753132601109	0.0381831945842636	-13.58	-11.97	-12.99	-13.01	-11.21	-14.23	-13.95	-11.78	-12.54	-13.64	-13.02
35	sguyt-974-CB8-WGatMSU-2.txt	BSSE-corrected RI-B3PW91 (SMD)/CBS		15.4056	0.272727272727175	0.143104839163986	0.768985535150612	12.8475074827257	0.0161463130885058	6.7536	12.6971	0.6150	10.3399	26.6056	-11.1077	2.39000	1.25530	18.0907	4.49300	-2.45630
36	null1-974-CB8-null1-1.txt	NULL		16.8245252595455	-0.0545454545455381	0.0996324808688726	0.517046427529313	-18.9661689138267	0.0110080400413645	-20.71192194	3.069352075	-23.95826063	-36.12197624	-32.55013695	-25.58600669	-25.38448555	-20.03764616	-24.61307385	-27.6300738	-23.27684397
37	tb3ck-974-CB8-WGatMSU-1.txt	BSSE-corrected RI-B3PW91-D3 (SMD)/CBS		33.8993727272727	-0.272727272727188	-0.154526107975027	-1.13221322500515	-51.9592187430663	-0.0056969298342732	-49.8877	-57.2225	-39.2994	-36.8555	-44.5281	-68.0906	-35.9242	-31.9476	-14.8978	-50.3399	-37.0698
38	6bwq3-974-CB8-WGatMSU-1.txt	EKEN-DIAZ/MD/MMPBSA		16.7332454545455	-0.418181818181869	-0.146344006535103	-0.474251917256937	-29.2201591937117	-0.00998147461289931	-29.4052	-31.4838	-19.5996	-25.5604	-34.2069	-30.7554	-18.5713	-19.8418	-17.5632	-30.3981	-19.8500
