HOST:	bCD
GUESTS:	g1	g2
RANK	FILE	NAME	CATEGORY	MUE	KENDALL	PEARSON	ANGULAR	INTERCEPT	LIN	bCD-g1	bCD-g2
1	ourdock.txt	autodock4_default	Docking	0.2603977867773	1	1	1.15374948874964	0.563699472920746	0.950669296502691	-4.6512482162276	-6.589547357327
2	CD_MGLab_FSDAM_ranked.txt	FSDAM/GAFF2/OPC3_ranked	Alchemical 	0.76	1	1	0.83333333333333	-0.13333333333335	0.663207759981955	-3.9	-5.3
3	CD_MPIBPC_GAFF-1.txt	Noneq/Alchemy/GAFF	Alchemical	0.52	0.999999999999999	1	0.380952380952384	-3.46809523809522	0.647320891029505	-5.19	-5.83
4	CD_MPIBPC_consensus-1.txt	Noneq/Alchemy/consensus	Alchemical	0.600000000000001	0.999999999999998	1	0.285714285714268	-3.86857142857152	0.527196652719638	-5.16	-5.64
5	CD_MPIBPC_CHARMM-1.txt	Noneq/Alchemy/CGENFF	Alchemical	0.675	0.999999999999995	1	0.196428571428563	-4.23214285714291	0.375380865326005	-5.12	-5.45
6	CD_REF.txt	Docking/GAFF/YANK_REF	Alchemical	1.6975	0.999999999999999	1	0.532738095238086	-4.20202380952386	0.198502255857472	-6.610	-7.505
7	CD_MGLab_FSDAM_JB.txt	FSDAM/GAFF2/OPC3_JB	Alchemical 	1.26	0.999999999999987	1	0.119047619047628	-3.46190476190471	0.0729419937478349	-4.0	-4.2
8	CD_submission.txt	AM1-BCC/MD/GAFF/TIP4PEW/QMMM	Alchemical	21.29	1	1	4.03571428571427	-5.0185714285715	0.0122355905468506	-23.26	-30.04
